city,year,weekofyear,total_cases
sj,2008,18,27
sj,2008,19,25
sj,2008,20,32
sj,2008,21,27
sj,2008,22,29
sj,2008,23,30
sj,2008,24,32
sj,2008,25,40
sj,2008,26,42
sj,2008,27,39
sj,2008,28,34
sj,2008,29,37
sj,2008,30,44
sj,2008,31,41
sj,2008,32,51
sj,2008,33,53
sj,2008,34,53
sj,2008,35,58
sj,2008,36,71
sj,2008,37,63
sj,2008,38,50
sj,2008,39,44
sj,2008,40,55
sj,2008,41,40
sj,2008,42,39
sj,2008,43,35
sj,2008,44,33
sj,2008,45,40
sj,2008,46,36
sj,2008,47,33
sj,2008,48,27
sj,2008,49,20
sj,2008,50,21
sj,2008,51,25
sj,2008,52,21
sj,2009,1,21
sj,2009,2,21
sj,2009,3,23
sj,2009,4,23
sj,2009,5,25
sj,2009,6,21
sj,2009,7,20
sj,2009,8,19
sj,2009,9,20
sj,2009,10,21
sj,2009,11,22
sj,2009,12,19
sj,2009,13,20
sj,2009,14,20
sj,2009,15,21
sj,2009,16,22
sj,2009,17,23
sj,2009,18,24
sj,2009,19,22
sj,2009,20,26
sj,2009,21,25
sj,2009,22,39
sj,2009,23,34
sj,2009,24,34
sj,2009,25,38
sj,2009,26,38
sj,2009,27,43
sj,2009,28,46
sj,2009,29,47
sj,2009,30,51
sj,2009,31,53
sj,2009,32,46
sj,2009,33,46
sj,2009,34,48
sj,2009,35,54
sj,2009,36,52
sj,2009,37,53
sj,2009,38,49
sj,2009,39,46
sj,2009,40,55
sj,2009,41,56
sj,2009,42,59
sj,2009,43,54
sj,2009,44,43
sj,2009,45,36
sj,2009,46,38
sj,2009,47,41
sj,2009,48,42
sj,2009,49,31
sj,2009,50,32
sj,2009,51,30
sj,2009,52,28
sj,2010,53,28
sj,2010,1,27
sj,2010,2,25
sj,2010,3,24
sj,2010,4,24
sj,2010,5,21
sj,2010,6,23
sj,2010,7,26
sj,2010,8,27
sj,2010,9,37
sj,2010,10,29
sj,2010,11,28
sj,2010,12,37
sj,2010,13,31
sj,2010,14,27
sj,2010,15,24
sj,2010,16,30
sj,2010,17,46
sj,2010,18,45
sj,2010,19,33
sj,2010,20,39
sj,2010,21,44
sj,2010,22,63
sj,2010,23,59
sj,2010,24,50
sj,2010,25,48
sj,2010,26,52
sj,2010,27,61
sj,2010,28,68
sj,2010,29,55
sj,2010,30,52
sj,2010,31,56
sj,2010,32,66
sj,2010,33,56
sj,2010,34,63
sj,2010,35,66
sj,2010,36,66
sj,2010,37,61
sj,2010,38,55
sj,2010,39,49
sj,2010,40,55
sj,2010,41,62
sj,2010,42,46
sj,2010,43,37
sj,2010,44,41
sj,2010,45,44
sj,2010,46,29
sj,2010,47,23
sj,2010,48,23
sj,2010,49,23
sj,2010,50,26
sj,2010,51,23
sj,2011,52,18
